epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8122,1.39963,3.67631,1.07934,0.00755,0.98361,0.05149,0.02287,0.89728,3.72189,0.85756,0.00026,0.00026,0.00026
2,171.252,1.12936,2.29536,0.93813,0.00761,0.9918,0.0114,0.00708,1.00743,3.65563,0.86822,0.000529308,0.000529308,0.000529308
3,247.541,1.03434,1.59033,0.91239,0.00755,0.98361,0.01126,0.00694,1.00937,3.66906,0.89943,0.000787528,0.000787528,0.000787528
4,322.703,1.02524,1.31313,0.93626,0.0017,0.22131,0.00111,0.00068,0.86133,3.82342,0.94279,0.00103466,0.00103466,0.00103466
5,391.514,0.85746,1.15945,0.91595,0.00547,0.71311,0.00758,0.0062,0.82078,3.47363,0.91142,0.0012707,0.0012707,0.0012707
6,459.643,0.87078,1.06844,0.90547,0.3469,0.30914,0.27924,0.22595,0.76958,2.65092,0.89082,0.00149566,0.00149566,0.00149566
7,527.444,0.82775,1.01175,0.8913,0.66102,0.62336,0.62849,0.49925,0.79959,2.1575,0.89538,0.00170953,0.00170953,0.00170953
8,597.675,0.75639,0.92374,0.88374,0.9323,0.90304,0.97338,0.80244,0.6426,1.58306,0.85025,0.0017228,0.0017228,0.0017228
9,665.629,0.79013,0.87937,0.88384,0.95734,0.91964,0.98147,0.8011,0.69851,1.18225,0.87265,0.0016832,0.0016832,0.0016832
10,734.59,0.71757,0.80681,0.86816,0.97417,0.92753,0.98486,0.84547,0.62899,1.04362,0.85124,0.0016436,0.0016436,0.0016436
11,802.558,0.67415,0.71774,0.84586,1,0.95604,0.99211,0.8594,0.5876,0.81261,0.83556,0.001604,0.001604,0.001604
12,869.271,0.66461,0.6925,0.85006,0.96552,0.91801,0.97991,0.82786,0.60004,0.79126,0.84924,0.0015644,0.0015644,0.0015644
13,938.117,0.69086,0.6672,0.84722,0.99156,0.96279,0.99419,0.86656,0.54985,0.67378,0.82382,0.0015248,0.0015248,0.0015248
14,1006.88,0.62995,0.62089,0.84744,0.98245,0.9918,0.99467,0.86717,0.53196,0.66009,0.81992,0.0014852,0.0014852,0.0014852
15,1075.12,0.64313,0.65024,0.85092,0.93785,1,0.99246,0.87888,0.50542,0.67067,0.82044,0.0014456,0.0014456,0.0014456
16,1145.95,0.6584,0.61233,0.85303,0.9358,0.95591,0.98671,0.80292,0.65758,0.75061,0.8664,0.001406,0.001406,0.001406
17,1219.69,0.65413,0.62278,0.84471,1,0.99097,0.995,0.8906,0.46676,0.52337,0.80872,0.0013664,0.0013664,0.0013664
18,1289.84,0.59783,0.59069,0.83801,0.99185,0.99795,0.99476,0.8874,0.46828,0.55527,0.80906,0.0013268,0.0013268,0.0013268
19,1358.9,0.56183,0.55456,0.83569,0.99813,0.9918,0.995,0.8462,0.57068,0.55337,0.83485,0.0012872,0.0012872,0.0012872
20,1426.25,0.59213,0.53755,0.83112,1,0.99917,0.995,0.90509,0.45225,0.47788,0.80564,0.0012476,0.0012476,0.0012476
21,1496.73,0.57354,0.51337,0.84105,0.99971,0.9918,0.995,0.90298,0.44729,0.45938,0.80698,0.001208,0.001208,0.001208
22,1565.21,0.55057,0.50927,0.83213,0.99919,0.9918,0.995,0.90175,0.43379,0.45545,0.80524,0.0011684,0.0011684,0.0011684
