epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3389,1.44484,3.80362,1.07949,0.00497,0.65517,0.01611,0.00509,1.14416,3.88739,0.9058,0.00026,0.00026,0.00026
2,97.2317,1.39457,2.28304,1.02138,0.00556,0.73276,0.00882,0.00399,1.18839,3.78286,0.92487,0.00048654,0.00048654,0.00048654
3,143.445,1.29414,1.84242,1.01135,0.00699,0.92241,0.00833,0.00463,1.24182,3.62772,0.94236,0.00065764,0.00065764,0.00065764
4,190.483,1.29096,1.67101,1.00825,0.00739,0.97414,0.00972,0.00536,1.14486,3.43557,0.93196,0.0007733,0.0007733,0.0007733
5,237.816,1.22277,1.51543,0.97958,0.00752,0.99138,0.68829,0.40681,1.20049,3.05013,0.96051,0.00083352,0.00083352,0.00083352
6,284.226,1.1748,1.36737,0.97382,1,0.08889,0.85287,0.58747,1.12285,2.74762,0.95808,0.0008383,0.0008383,0.0008383
7,328.919,1.19098,1.24045,0.99365,1,0.59145,0.92342,0.57786,1.24184,2.31946,0.99814,0.00078764,0.00078764,0.00078764
8,375.394,1.15232,1.23779,0.98422,0.99716,0.87069,0.97998,0.62064,1.24254,1.95314,1.04216,0.000614,0.000614,0.000614
9,421.766,1.14899,1.21794,0.99302,0.97617,0.94828,0.99261,0.6987,1.03781,1.56379,0.95284,0.000416,0.000416,0.000416
10,467.291,1.04398,1.09161,0.94334,0.96556,0.96664,0.99205,0.70726,1.00599,1.30171,0.94154,0.000218,0.000218,0.000218
